species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Rucervus eldii,Eld's deer,"['wetlands', 'marshlands', 'Indaing deciduous broadleaf forest', 'deciduous dipterocarp forest', 'dry deciduous forest', 'mixed deciduous forest']",specialist,"['India', 'Myanmar', 'Thailand', 'Cambodia', 'China', 'Laos', 'Vietnam']",False,"variety of grasses, herbaceous plants, shoots, fruit, wetland plants, and cultivated crops such as rice, lentils, maize, peas, and grapes",herbivore,165.0,150.0,medium,endangered,decreasing,"['hunting', 'deforestation', 'habitat loss', 'poaching', 'inbreeding', 'loss of genetic variation', 'development activities', 'predation by Burmese pythons']","Eld's deer is an endangered species with three subspecies distributed across South and Southeast Asia. It inhabits wetlands and various forest types, with adaptations for marshy environments in India. The species faces threats from hunting, habitat loss, and poaching. Conservation efforts include protected areas and captive breeding programs. Population estimates total approximately 2,380 individuals in the wild and captivity combined."
Rusa alfredi,Visayan spotted deer,"['rainforests', 'dense cogon grassland', 'primary forest', 'secondary forest', 'forest clearings']",specialist,"['Visayan Islands of Panay', 'Visayan Islands of Negros', 'formerly Cebu', 'formerly Guimaras', 'formerly Leyte', 'formerly Masbate', 'formerly Samar']",True,"variety of grasses, leaves, and buds within the forest, including young shoots of cogon grass and young low-growing leaves and buds",herbivore,125.0,50.0,medium,endangered,decreasing,"['deforestation', 'hunting', 'logging activities', 'agricultural conversion', 'subsistence hunting', 'sales of venison', 'live trapping for pet trade', 'population isolation']","Small, nocturnal deer endemic to the Visayan Islands, with a distinctive 'A'-pattern of beige spots. Population severely declined due to habitat loss and hunting. Conservation efforts ongoing but underfunded. Captive breeding programs exist. Estimated wild population around 300 individuals."
Monodelphis unistriata,one-striped opossum,[],unknown,"['Brazil', 'Argentina']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,possibly extinct,unknown,[],Known only from two specimens found in Brazil in 1821 and Argentina in 1899.
Marmosops handleyi,Handley's slender opossum,[],unknown,['Colombia'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Handley's slender opossum is a species of opossum in the family Didelphidae, endemic to Colombia."
Abrocoma boliviensis,Bolivian chinchilla rat,"['cloud forests', 'rocky areas']",specialist,"['Manuel María Caballero Province, Bolivia']",True,herbivore,primary consumer,92.58718085106382,1371.0242088757395,low,critically endangered,decreasing,"['clearing of cloud forest habitat for cattle pasture', 'habitat fragmentation', 'historical trapping for fur']","Species has an extent of occurrence less than 100 km², all individuals are in a single location, young are born precocial after a relatively long gestation period."
Geocapromys brownii,Jamaican coney,"['remote mountains', 'mountainous regions']",specialist,['Jamaica'],True,"fruits, bark, roots, foliage, other plant matter",herbivore,38.75,1.5,medium,endangered,decreasing,"['habitat loss', 'hunting', 'non-native species']","Only surviving native mammal on Jamaica other than bats; nocturnal; lives in group nests; excellent climber and jumper; females mature at 1 year, 2 litters per year with about 2 offspring per litter; young are precocial."
Geocapromys thoracatus,Little Swan Island hutia,"['caves', 'limestone crevices', 'Little Swan Island']",specialist,"['Little Swan Island, Honduras']",True,"bark, small twigs, leaves",herbivore,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['hurricane', 'introduction of house cats']",Extinct rodent species endemic to Little Swan Island; disappeared after Hurricane Janet in 1955 and introduction of house cats; likely a subspecies of Jamaican hutia.
Isolobodon portoricensis,Puerto Rican hutia,"['Hispaniola', 'Gonâve Island', 'Virgin Islands', 'Puerto Rico']",unknown,"['Dominican Republic', 'Haiti', 'Gonâve Island', 'Virgin Islands', 'Puerto Rico']",False,herbivore,primary consumer,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['European colonization', 'introduction of black rats (Rattus rattus)', 'introduction of small Indian mongooses (Urva auropunctata)']","The Puerto Rican hutia was a vital food source for the Taíno and survived until European colonization. It declined due to introduced predators and is commonly regarded as extinct, though some researchers hope it survives in undisturbed refuges."
Isolobodon montanus,montane hutia,[],unknown,"['Hispaniola', 'Dominican Republic', 'Haiti']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,['competition from introduced rodents'],"The montane hutia was endemic to Hispaniola and survived until the time of European colonization, likely going extinct due to competition from introduced rodents."
Hexolobodon phenax,imposter hutia,['Caribbean island of Hispaniola'],specialist,"['Haiti', 'Dominican Republic']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,['predation from introduced rodents'],"The imposter hutia was the only species in its genus and tribe, found only on Hispaniola, and went extinct sometime after European colonization in the 1500s likely due to introduced rodent predation."
Plagiodontia ipnaeum,Samaná hutia,"['subtropical moist lowland forests', 'tropical moist lowland forests']",specialist,"['Hispaniola', 'Dominican Republic', 'Haiti']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,['predation from introduced rodents'],The Samaná hutia was endemic to Hispaniola and went extinct likely due to predation from introduced rodents after European colonization. It may have survived until the 20th century and is possibly linked to historical accounts by Spanish colonists.
Chinchilla chinchilla,short-tailed chinchilla,"['self-dug burrows', 'crevices of rocky areas', 'mountainous grasslands', 'areas with shrubs and grasses', 'arid climates at high altitudes']",specialist,"['northern Chile', 'southern Bolivia']",True,"herbivore, mainly grasses, shrubs, foliage, leaves, seeds, nuts, herbs, flowers, grains; occasionally insects",primary consumer,30.5,0.6,medium,endangered,decreasing,"['illegal hunting', 'habitat loss', 'firewood harvesting', 'mining', 'fur trade', 'exotic pet trade', 'inbreeding depression', 'low genetic diversity', 'predation by birds of prey', 'predation by wild cats and foxes']","Short-tailed chinchillas are small rodents endemic to the Andes mountains of northern Chile and small populations in southern Bolivia. They have dense, plush fur highly valued in the fur trade, leading to severe population declines. They live in high-altitude arid environments, are herbivorous with occasional insect consumption, and have a medium reproduction rate with 1-2 litters per year. Conservation efforts include hunting bans and protected reserves, but populations remain small, isolated, and declining due to multiple threats including habitat destruction and illegal hunting."
Ctenomys azarae,Mendoza tuco-tuco,"['burrows', 'grasslands', 'Andean Precordilla region']",specialist,"['Mendoza province, Argentina']",True,herbivore,primary consumer,23.0,0.175,medium,unknown,unknown,[],"Solitary burrowing rodent endemic to Mendoza province, Argentina; herbivorous diet with preference for grasses; newborns highly altricial with 3-month gestation and independence at 80 days; body length 230-280 mm, weight 100-250 g."
Ctenomys bonettoi,Bonetto's tuco-tuco,[],unknown,['Argentina'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species of rodent in the family Ctenomyidae, endemic to Argentina."
Ctenomys roigi,Roig's tuco-tuco,"['sand dunes', 'near rivers']",specialist,"['Corrientes Province, Argentina']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,decreasing,"['habitat degradation', 'habitat shrinking', 'development']","Endemic rodent species living on sand dunes and near rivers in northeastern Argentina; habitat is being degraded and reduced by development; karyotype 2n=48, FN=80."
Ctenomys rionegrensis,Rio Negro tuco-tuco,['sand dunes'],specialist,"['Entre Ríos Province, Argentina', 'Río Negro Department, Uruguay']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,['habitat conversion to forestry plantations'],"Species is found in a small fragmented range in northeastern Argentina and western Uruguay, restricted to sand dunes, threatened by habitat conversion."
Ctenomys latro,mottled tuco-tuco,"['subtropical dry lowland grassland', 'tropical dry lowland grassland']",specialist,"['Argentina', 'Chile', 'Uruguay']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"The mottled tuco-tuco is a rodent species endemic to Argentina, Chile, and Uruguay, inhabiting subtropical or tropical dry lowland grasslands."
Ctenomys osvaldoreigi,Reig's tuco-tuco,['grassland'],specialist,"['central Argentina', 'Cordoba Province']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,"['habitat disruption by fire', 'sheep grazing']","Endemic to a grassland location in Cordoba Province, Argentina, at elevation above 2000 m in the Sierras Grandes; threatened by habitat disruption due to fire and sheep grazing."
Ctenomys sociabilis,social tuco-tuco,"['subtropical dry lowland grassland', 'mesic meadows']",specialist,['Argentina'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species exhibits unique social behavior including adult burrow sharing, female philopatry, and alloparental care; has low genetic diversity; range is small (~700 km2) at about 1000 m elevation."
Ctenomys pilarensis,Pilar tuco-tuco,['sandy soil'],specialist,"['Ñeembucú Department, Paraguay', 'Misiones Department, Paraguay']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,threatened,decreasing,"['habitat conversion to agriculture', 'treatment as a pest']",Species has a karyotype of 2n = 48 or 50 and FN = 50; present in a few isolated populations.
Ctenomys bergi,Berg's tuco-tuco,"['grassy areas', 'sand dunes']",specialist,"['northwestern Córdoba Province, Argentina']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,"['habitat degradation', 'habitat fragmentation']",Species is endemic to a small region in central Argentina and threatened by severe habitat degradation and fragmentation.
Ctenomys flamarioni,Flamarion's tuco-tuco,"['coastal dunes', 'subterranean tunnels']",specialist,"['Rio Grande do Sul, Brazil']",True,herbivore,primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat loss', 'dune removal', 'urbanization', 'human occupation', 'trampling', 'litter deposition', 'presence of domestic species', 'forestry (Pinus planting)', 'monocultures']","Endemic to coastal dunes of Rio Grande do Sul, Brazil; subterranean and solitary; threatened by habitat degradation due to urbanization and dune removal."
Dasyprocta ruatanica,Ruatan Island agouti,['brushy scrub forest'],specialist,"['Roatán Island, Honduras']",True,"almonds, coconuts, hibiscus, pentaclethra pods",herbivore,44.0,3.9200000000000004,unknown,threatened,decreasing,"['habitat loss', 'hunting', 'tourism development']","Smaller than Central American agoutis, active day and night, not territorial, timid, endemic to Roatán Island, threatened by habitat loss and hunting due to tourism development."
Dasyprocta mexicana,Mexican agouti,"['humid tropical rainforests', 'lowland evergreen forests', 'second growth forests']",specialist,"['Veracruz, Mexico', 'Oaxaca, Mexico', 'Tabasco, Mexico', 'Chiapas, Mexico', 'Western Cuba', 'Eastern Cuba']",False,"frugivore (primarily fruits of soft seeds and new-growth forest plants), occasional insect larvae",primary consumer,50.0,3.0,low,critically endangered,decreasing,"['habitat loss', 'hunting by humans', 'predation by cats', 'predation by birds of prey', 'predation by snakes', 'predation by jaguars']",Medium-sized rodent native to Mexico and introduced to Cuba; specialist in humid tropical and lowland evergreen forests; frugivore with scatter-hoarding behavior aiding seed dispersal; monogamous with low reproductive rate; lifespan up to 13.1 years in captivity; critically endangered due to habitat loss and hunting; important ecological role as seed disperser and prey species.
